Nombre                                                 |Tipo dato |Valor                                                  |Longitud
_"a es mas grande que b y c es mas grande que b"       |          |"a es mas grande que b y c es mas grande que b"        |47   
_"a es mas grande que b"                               |          |"a es mas grande que b"                                |23   
_"amarillo"                                            |          |"amarillo"                                             |10   
_"verde"                                               |          |"verde"                                                |7    
_0                                                     |          |0                                                      |1    
_1                                                     |          |1                                                      |1    
_2                                                     |          |2                                                      |1    
_3                                                     |          |3                                                      |1    
_6                                                     |          |6                                                      |1    
_9                                                     |          |9                                                      |1    
a                                                      |          |                                                       |1    
b                                                      |          |                                                       |1    
c                                                      |          |                                                       |1    
x                                                      |          |                                                       |1    
